,2020-21,2021-22,2022-23,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2012-13,2008-09,2009-10,2010-11,2011-12,2007-08
1630173,"['2020-21', 61, 4, 12.1, 2.0, 3.7, 0.544, 0.0, 0.0, 0.0, 0.9, 1.8, 0.509, 1.2, 2.2, 3.4, 0.5, 0.3, 0.5, 0.7, 1.5, 5.0, 1610612748, 21.0, '6-8', 'Precious Achiuwa', 'Forward']","['2021-22', 73, 28, 23.6, 3.6, 8.3, 0.439, 0.8, 2.1, 0.359, 1.1, 1.8, 0.595, 2.0, 4.5, 6.5, 1.1, 0.5, 0.6, 1.2, 2.1, 9.1, 1610612761, 22.0, '6-8', 'Precious Achiuwa', 'Forward']","['2022-23', 55, 12, 20.7, 3.6, 7.3, 0.485, 0.5, 2.0, 0.269, 1.6, 2.3, 0.702, 1.8, 4.1, 6.0, 0.9, 0.6, 0.5, 1.1, 1.9, 9.2, 1610612761, 23.0, '6-8', 'Precious Achiuwa', 'Forward']",,,,,,,,,,,,,
203500,"['2020-21', 58, 58, 27.7, 3.3, 5.3, 0.614, 0.0, 0.1, 0.0, 1.0, 2.3, 0.444, 3.7, 5.2, 8.9, 1.9, 0.9, 0.7, 1.3, 1.9, 7.6, 1610612740, 27.0, '6-11', 'Steven Adams', 'Center']","['2021-22', 76, 75, 26.3, 2.8, 5.1, 0.547, 0.0, 0.0, 0.0, 1.4, 2.6, 0.543, 4.6, 5.4, 10.0, 3.4, 0.9, 0.8, 1.5, 2.0, 6.9, 1610612763, 28.0, '6-11', 'Steven Adams', 'Center']","['2022-23', 42, 42, 27.0, 3.7, 6.3, 0.597, 0.0, 0.0, 0.0, 1.1, 3.1, 0.364, 5.1, 6.5, 11.5, 2.3, 0.9, 1.1, 1.9, 2.3, 8.6, 1610612763, 29.0, '6-11', 'Steven Adams', 'Center']","['2013-14', 81, 20, 14.8, 1.1, 2.3, 0.503, 0.0, 0.0, 0.0, 1.0, 1.7, 0.581, 1.8, 2.3, 4.1, 0.5, 0.5, 0.7, 0.9, 2.5, 3.3, 1610612760, 20.0, '6-11', 'Steven Adams', 'Center']","['2014-15', 70, 67, 25.3, 3.1, 5.7, 0.544, 0.0, 0.0, 0.0, 1.5, 2.9, 0.502, 2.8, 4.6, 7.5, 0.9, 0.5, 1.2, 1.4, 3.2, 7.7, 1610612760, 21.0, '6-11', 'Steven Adams', 'Center']","['2015-16', 80, 80, 25.2, 3.3, 5.3, 0.613, 0.0, 0.0, 0.0, 1.4, 2.5, 0.582, 2.7, 3.9, 6.7, 0.8, 0.5, 1.1, 1.1, 2.8, 8.0, 1610612760, 22.0, '6-11', 'Steven Adams', 'Center']","['2016-17', 80, 80, 29.9, 4.7, 8.2, 0.571, 0.0, 0.0, 0.0, 2.0, 3.2, 0.611, 3.5, 4.2, 7.7, 1.1, 1.1, 1.0, 1.8, 2.4, 11.3, 1610612760, 23.0, '6-11', 'Steven Adams', 'Center']","['2017-18', 76, 76, 32.7, 5.9, 9.4, 0.629, 0.0, 0.0, 0.0, 2.1, 3.8, 0.559, 5.1, 4.0, 9.0, 1.2, 1.2, 1.0, 1.7, 2.8, 13.9, 1610612760, 24.0, '6-11', 'Steven Adams', 'Center']","['2018-19', 80, 80, 33.4, 6.0, 10.1, 0.595, 0.0, 0.0, 0.0, 1.8, 3.7, 0.5, 4.9, 4.6, 9.5, 1.6, 1.5, 1.0, 1.7, 2.6, 13.9, 1610612760, 25.0, '6-11', 'Steven Adams', 'Center']","['2019-20', 63, 63, 26.7, 4.5, 7.6, 0.592, 0.0, 0.0, 0.333, 1.9, 3.2, 0.582, 3.3, 6.0, 9.3, 2.3, 0.8, 1.1, 1.5, 1.9, 10.9, 1610612760, 26.0, '6-11', 'Steven Adams', 'Center']",,,,,,
1628389,"['2020-21', 64, 64, 33.5, 7.1, 12.5, 0.57, 0.0, 0.1, 0.25, 4.4, 5.5, 0.799, 2.2, 6.7, 9.0, 5.4, 1.2, 1.0, 2.6, 2.3, 18.7, 1610612748, 23.0, '6-9', 'Bam Adebayo', 'Center-Forward']","['2021-22', 56, 56, 32.6, 7.3, 13.0, 0.557, 0.0, 0.1, 0.0, 4.6, 6.1, 0.753, 2.4, 7.6, 10.1, 3.4, 1.4, 0.8, 2.6, 3.1, 19.1, 1610612748, 24.0, '6-9', 'Bam Adebayo', 'Center-Forward']","['2022-23', 75, 75, 34.6, 8.0, 14.9, 0.54, 0.0, 0.2, 0.083, 4.3, 5.4, 0.806, 2.5, 6.7, 9.2, 3.2, 1.2, 0.8, 2.5, 2.8, 20.4, 1610612748, 25.0, '6-9', 'Bam Adebayo', 'Center-Forward']",,,,,"['2017-18', 69, 19, 19.8, 2.5, 4.9, 0.512, 0.0, 0.1, 0.0, 1.9, 2.6, 0.721, 1.7, 3.8, 5.5, 1.5, 0.5, 0.6, 1.0, 2.0, 6.9, 1610612748, 20.0, '6-9', 'Bam Adebayo', 'Center-Forward']","['2018-19', 82, 28, 23.3, 3.4, 5.9, 0.576, 0.0, 0.2, 0.2, 2.0, 2.8, 0.735, 2.0, 5.3, 7.3, 2.2, 0.9, 0.8, 1.5, 2.5, 8.9, 1610612748, 21.0, '6-9', 'Bam Adebayo', 'Center-Forward']","['2019-20', 72, 72, 33.6, 6.1, 11.0, 0.557, 0.0, 0.2, 0.143, 3.7, 5.3, 0.691, 2.4, 7.8, 10.2, 5.1, 1.1, 1.3, 2.8, 2.5, 15.9, 1610612748, 22.0, '6-9', 'Bam Adebayo', 'Center-Forward']",,,,,,
1629638,"['2020-21', 46, 13, 21.9, 4.2, 10.0, 0.419, 1.7, 4.8, 0.347, 1.0, 1.4, 0.727, 0.3, 2.8, 3.1, 2.2, 1.0, 0.5, 1.5, 1.9, 11.0, 1610612740, 22.0, '6-5', 'Nickeil Alexander-Walker', 'Guard']","['2021-22', 65, 21, 22.6, 3.9, 10.5, 0.372, 1.6, 5.2, 0.311, 1.2, 1.7, 0.743, 0.6, 2.3, 2.9, 2.4, 0.7, 0.4, 1.4, 1.6, 10.6, 0, 23.0, '6-5', 'Nickeil Alexander-Walker', 'Guard']","['2022-23', 59, 3, 15.0, 2.2, 5.0, 0.444, 1.0, 2.7, 0.384, 0.7, 1.0, 0.667, 0.3, 1.5, 1.7, 1.8, 0.5, 0.4, 0.9, 1.5, 6.2, 0, 24.0, '6-5', 'Nickeil Alexander-Walker', 'Guard']",,,,,,,"['2019-20', 47, 1, 12.6, 2.1, 5.7, 0.368, 1.0, 2.8, 0.346, 0.5, 0.8, 0.676, 0.2, 1.6, 1.8, 1.9, 0.4, 0.2, 1.1, 1.2, 5.7, 1610612740, 21.0, '6-5', 'Nickeil Alexander-Walker', 'Guard']",,,,,,
1628960,"['2020-21', 50, 38, 25.2, 3.5, 8.3, 0.418, 2.1, 5.5, 0.391, 1.6, 1.8, 0.868, 0.4, 2.8, 3.2, 2.2, 0.9, 0.2, 1.0, 1.4, 10.6, 1610612763, 25.0, '6-4', 'Grayson Allen', 'Guard']","['2021-22', 66, 61, 27.3, 3.9, 8.6, 0.448, 2.4, 5.9, 0.409, 1.0, 1.1, 0.865, 0.5, 2.9, 3.4, 1.5, 0.7, 0.3, 0.7, 1.5, 11.1, 1610612749, 26.0, '6-4', 'Grayson Allen', 'Guard']","['2022-23', 72, 70, 27.4, 3.4, 7.7, 0.44, 2.0, 5.1, 0.399, 1.6, 1.8, 0.905, 0.8, 2.4, 3.3, 2.3, 0.9, 0.2, 1.0, 1.6, 10.4, 1610612749, 27.0, '6-4', 'Grayson Allen', 'Guard']",,,,,,"['2018-19', 38, 2, 11.0, 1.8, 4.7, 0.376, 0.8, 2.6, 0.323, 1.2, 1.6, 0.75, 0.1, 0.5, 0.6, 0.7, 0.2, 0.2, 0.9, 1.2, 5.6, 1610612762, 23.0, '6-4', 'Grayson Allen', 'Guard']","['2019-20', 38, 0, 18.9, 3.1, 6.6, 0.466, 1.5, 3.7, 0.404, 1.0, 1.2, 0.867, 0.2, 2.0, 2.2, 1.4, 0.3, 0.1, 0.9, 1.4, 8.7, 1610612763, 24.0, '6-4', 'Grayson Allen', 'Guard']",,,,,,
1628386,"['2020-21', 63, 45, 29.6, 4.7, 7.7, 0.618, 0.1, 0.3, 0.316, 3.2, 4.6, 0.703, 3.1, 6.9, 10.0, 1.7, 0.5, 1.4, 1.6, 1.5, 12.8, 0, 23.0, '6-9', 'Jarrett Allen', 'Center']","['2021-22', 56, 56, 32.3, 6.6, 9.7, 0.677, 0.0, 0.2, 0.1, 2.9, 4.2, 0.708, 3.4, 7.3, 10.8, 1.6, 0.8, 1.3, 1.7, 1.7, 16.1, 1610612739, 24.0, '6-9', 'Jarrett Allen', 'Center']","['2022-23', 68, 68, 32.6, 5.9, 9.2, 0.644, 0.0, 0.1, 0.1, 2.4, 3.3, 0.733, 3.3, 6.5, 9.8, 1.7, 0.8, 1.2, 1.4, 2.3, 14.3, 1610612739, 25.0, '6-9', 'Jarrett Allen', 'Center']",,,,,"['2017-18', 72, 31, 20.0, 3.3, 5.5, 0.589, 0.1, 0.2, 0.333, 1.6, 2.0, 0.776, 2.0, 3.4, 5.4, 0.7, 0.4, 1.2, 1.1, 2.0, 8.2, 1610612751, 20.0, '6-9', 'Jarrett Allen', 'Center']","['2018-19', 80, 80, 26.2, 4.2, 7.1, 0.59, 0.1, 0.6, 0.133, 2.5, 3.5, 0.709, 2.4, 6.0, 8.4, 1.4, 0.5, 1.5, 1.3, 2.3, 10.9, 1610612751, 21.0, '6-9', 'Jarrett Allen', 'Center']","['2019-20', 70, 64, 26.5, 4.3, 6.6, 0.649, 0.0, 0.1, 0.0, 2.4, 3.9, 0.633, 3.1, 6.5, 9.6, 1.6, 0.6, 1.3, 1.1, 2.3, 11.1, 1610612751, 22.0, '6-9', 'Jarrett Allen', 'Center']",,,,,,
203937,"['2020-21', 69, 69, 27.4, 4.5, 9.5, 0.468, 1.4, 3.8, 0.36, 2.1, 2.7, 0.783, 0.8, 5.0, 5.7, 3.6, 1.2, 0.8, 1.2, 1.7, 12.4, 1610612763, 27.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2021-22', 69, 11, 21.5, 3.0, 6.8, 0.446, 0.5, 1.6, 0.33, 1.0, 1.5, 0.638, 1.0, 4.3, 5.3, 2.7, 1.1, 0.7, 1.0, 1.6, 7.6, 1610612763, 28.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2022-23', 69, 46, 28.4, 3.7, 7.2, 0.509, 0.6, 1.5, 0.41, 1.4, 2.0, 0.735, 1.0, 4.4, 5.3, 4.9, 1.1, 0.9, 1.5, 2.1, 9.4, 1610612750, 29.0, '6-9', 'Kyle Anderson', 'Forward-Guard']",,"['2014-15', 33, 8, 10.9, 0.9, 2.7, 0.348, 0.1, 0.3, 0.273, 0.3, 0.4, 0.643, 0.2, 2.0, 2.2, 0.8, 0.5, 0.2, 0.3, 0.8, 2.2, 1610612759, 21.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2015-16', 78, 11, 16.0, 1.8, 3.8, 0.468, 0.2, 0.5, 0.324, 0.8, 1.1, 0.747, 0.3, 2.8, 3.1, 1.6, 0.8, 0.4, 0.8, 1.2, 4.5, 1610612759, 22.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2016-17', 72, 14, 14.2, 1.3, 2.9, 0.445, 0.2, 0.6, 0.375, 0.6, 0.8, 0.789, 0.5, 2.4, 2.9, 1.3, 0.7, 0.4, 0.5, 0.9, 3.4, 1610612759, 23.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2017-18', 74, 67, 26.7, 3.1, 5.9, 0.527, 0.3, 0.8, 0.333, 1.4, 2.0, 0.712, 1.1, 4.2, 5.4, 2.7, 1.6, 0.8, 1.3, 1.5, 7.9, 1610612759, 24.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2018-19', 43, 40, 29.8, 3.5, 6.4, 0.543, 0.2, 0.8, 0.265, 0.9, 1.5, 0.578, 1.1, 4.7, 5.8, 3.0, 1.3, 0.9, 1.3, 2.6, 8.0, 1610612763, 25.0, '6-9', 'Kyle Anderson', 'Forward-Guard']","['2019-20', 67, 28, 19.8, 2.3, 4.9, 0.474, 0.4, 1.3, 0.282, 0.8, 1.2, 0.667, 0.9, 3.4, 4.3, 2.4, 0.8, 0.6, 1.0, 1.7, 5.8, 1610612763, 26.0, '6-9', 'Kyle Anderson', 'Forward-Guard']",,,,,,
203507,"['2020-21', 61, 61, 33.0, 10.3, 18.0, 0.569, 1.1, 3.6, 0.303, 6.5, 9.5, 0.685, 1.6, 9.4, 11.0, 5.9, 1.2, 1.2, 3.4, 2.8, 28.1, 1610612749, 26.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2021-22', 67, 67, 32.9, 10.3, 18.6, 0.553, 1.1, 3.6, 0.293, 8.3, 11.4, 0.722, 2.0, 9.6, 11.6, 5.8, 1.1, 1.4, 3.3, 3.2, 29.9, 1610612749, 27.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2022-23', 63, 63, 32.1, 11.2, 20.3, 0.553, 0.7, 2.7, 0.275, 7.9, 12.3, 0.645, 2.2, 9.6, 11.8, 5.7, 0.8, 0.8, 3.9, 3.1, 31.1, 1610612749, 28.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2013-14', 77, 23, 24.6, 2.2, 5.4, 0.414, 0.5, 1.5, 0.347, 1.8, 2.6, 0.683, 1.0, 3.4, 4.4, 1.9, 0.8, 0.8, 1.6, 2.2, 6.8, 1610612749, 19.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2014-15', 81, 71, 31.4, 4.7, 9.6, 0.491, 0.1, 0.5, 0.159, 3.2, 4.3, 0.741, 1.2, 5.5, 6.7, 2.6, 0.9, 1.0, 2.1, 3.1, 12.7, 1610612749, 20.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2015-16', 80, 79, 35.3, 6.4, 12.7, 0.506, 0.4, 1.4, 0.257, 3.7, 5.1, 0.724, 1.4, 6.2, 7.7, 4.3, 1.2, 1.4, 2.6, 3.2, 16.9, 1610612749, 21.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2016-17', 80, 80, 35.6, 8.2, 15.7, 0.521, 0.6, 2.3, 0.272, 5.9, 7.7, 0.77, 1.8, 7.0, 8.8, 5.4, 1.6, 1.9, 2.9, 3.1, 22.9, 1610612749, 22.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2017-18', 75, 75, 36.7, 9.9, 18.7, 0.529, 0.6, 1.9, 0.307, 6.5, 8.5, 0.76, 2.1, 8.0, 10.0, 4.8, 1.5, 1.4, 3.0, 3.1, 26.9, 1610612749, 23.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2018-19', 72, 72, 32.8, 10.0, 17.3, 0.578, 0.7, 2.8, 0.256, 6.9, 9.5, 0.729, 2.2, 10.3, 12.5, 5.9, 1.3, 1.5, 3.7, 3.2, 27.7, 1610612749, 24.0, '7-0', 'Giannis Antetokounmpo', 'Forward']","['2019-20', 63, 63, 30.4, 10.9, 19.7, 0.553, 1.4, 4.7, 0.304, 6.3, 10.0, 0.633, 2.2, 11.4, 13.6, 5.6, 1.0, 1.0, 3.7, 3.1, 29.5, 1610612749, 25.0, '7-0', 'Giannis Antetokounmpo', 'Forward']",,,,,,
203648,"['2020-21', 57, 3, 9.7, 1.2, 2.4, 0.489, 0.1, 0.5, 0.241, 0.4, 0.9, 0.51, 0.9, 1.2, 2.2, 0.8, 0.4, 0.2, 0.8, 1.3, 2.9, 1610612749, 28.0, '6-7', 'Thanasis Antetokounmpo', 'Forward']","['2021-22', 48, 6, 9.9, 1.5, 2.7, 0.547, 0.0, 0.3, 0.143, 0.6, 1.0, 0.63, 0.8, 1.3, 2.1, 0.5, 0.3, 0.3, 0.5, 1.4, 3.6, 1610612749, 29.0, '6-7', 'Thanasis Antetokounmpo', 'Forward']","['2022-23', 37, 0, 5.6, 0.5, 1.2, 0.435, 0.0, 0.2, 0.0, 0.3, 0.6, 0.5, 0.4, 0.8, 1.2, 0.4, 0.1, 0.1, 0.3, 0.6, 1.4, 1610612749, 30.0, '6-7', 'Thanasis Antetokounmpo', 'Forward']",,,"['2015-16', 2, 0, 3.1, 1.5, 2.0, 0.75, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 1610612752, 23.0, '6-7', 'Thanasis Antetokounmpo', 'Forward']",,,,"['2019-20', 20, 2, 6.4, 1.2, 2.4, 0.5, 0.0, 0.5, 0.0, 0.4, 0.9, 0.412, 0.6, 0.6, 1.2, 0.8, 0.4, 0.1, 0.6, 0.9, 2.8, 1610612749, 27.0, '6-7', 'Thanasis Antetokounmpo', 'Forward']",,,,,,
1630175,"['2020-21', 47, 34, 27.1, 4.7, 11.7, 0.397, 1.2, 3.7, 0.337, 2.3, 2.8, 0.832, 0.8, 3.9, 4.7, 4.1, 0.6, 0.4, 2.3, 2.1, 12.9, 1610612753, 21.0, '6-3', 'Cole Anthony', 'Guard']","['2021-22', 65, 65, 31.7, 5.5, 14.0, 0.391, 2.0, 6.0, 0.338, 3.3, 3.9, 0.854, 0.5, 4.9, 5.4, 5.7, 0.7, 0.3, 2.6, 2.6, 16.3, 1610612753, 22.0, '6-3', 'Cole Anthony', 'Guard']","['2022-23', 60, 4, 25.9, 4.6, 10.2, 0.454, 1.3, 3.4, 0.364, 2.5, 2.8, 0.894, 0.8, 4.0, 4.8, 3.9, 0.6, 0.5, 1.5, 2.6, 13.0, 1610612753, 23.0, '6-3', 'Cole Anthony', 'Guard']",,,,,,,,,,,,,
1628384,"['2020-21', 43, 43, 33.3, 5.8, 12.1, 0.48, 2.4, 6.1, 0.398, 1.9, 2.4, 0.784, 1.3, 4.3, 5.5, 2.2, 1.5, 0.7, 1.7, 2.7, 15.9, 1610612761, 23.0, '6-7', 'O.G. Anunoby', 'Forward']","['2021-22', 48, 48, 36.0, 6.4, 14.5, 0.443, 2.4, 6.6, 0.363, 1.9, 2.5, 0.754, 1.5, 4.0, 5.5, 2.6, 1.5, 0.5, 1.7, 2.7, 17.1, 1610612761, 24.0, '6-7', 'O.G. Anunoby', 'Forward']","['2022-23', 67, 67, 35.6, 6.3, 13.2, 0.476, 2.1, 5.5, 0.387, 2.1, 2.5, 0.838, 1.4, 3.5, 5.0, 2.0, 1.9, 0.7, 2.0, 3.0, 16.8, 1610612761, 25.0, '6-7', 'O.G. Anunoby', 'Forward']",,,,,"['2017-18', 74, 62, 20.0, 2.2, 4.7, 0.471, 1.0, 2.7, 0.371, 0.5, 0.8, 0.629, 0.6, 1.9, 2.5, 0.7, 0.7, 0.2, 0.6, 1.8, 5.9, 1610612761, 20.0, '6-7', 'O.G. Anunoby', 'Forward']","['2018-19', 67, 6, 20.2, 2.7, 6.0, 0.453, 1.0, 3.0, 0.332, 0.5, 0.9, 0.581, 0.9, 2.1, 2.9, 0.7, 0.7, 0.3, 0.8, 2.1, 7.0, 1610612761, 21.0, '6-7', 'O.G. Anunoby', 'Forward']","['2019-20', 69, 68, 29.9, 4.1, 8.2, 0.505, 1.3, 3.3, 0.39, 1.0, 1.5, 0.706, 1.2, 4.1, 5.3, 1.6, 1.4, 0.7, 1.1, 2.4, 10.6, 1610612761, 22.0, '6-7', 'O.G. Anunoby', 'Forward']",,,,,,
1627853,"['2020-21', 44, 0, 10.2, 1.1, 2.7, 0.419, 0.6, 1.5, 0.373, 0.3, 0.5, 0.65, 0.1, 1.4, 1.5, 1.3, 0.2, 0.0, 0.2, 1.1, 3.1, 1610612741, 27.0, '6-3', 'Ryan Arcidiacono', 'Guard']","['2021-22', 10, 0, 7.6, 0.6, 1.2, 0.5, 0.4, 0.9, 0.444, 0.0, 0.0, 0.0, 0.0, 0.8, 0.8, 0.4, 0.1, 0.0, 0.3, 0.5, 1.6, 1610612752, 28.0, '6-3', 'Ryan Arcidiacono', 'Guard']","['2022-23', 20, 4, 8.6, 0.5, 1.9, 0.243, 0.4, 1.2, 0.348, 0.0, 0.0, 0.0, 0.0, 0.8, 0.8, 1.2, 0.3, 0.0, 0.4, 0.9, 1.3, 0, 29.0, '6-3', 'Ryan Arcidiacono', 'Guard']",,,,,"['2017-18', 24, 0, 12.7, 0.7, 1.7, 0.415, 0.4, 1.3, 0.29, 0.2, 0.3, 0.833, 0.0, 1.0, 1.0, 1.5, 0.5, 0.0, 0.5, 0.8, 2.0, 1610612741, 24.0, '6-3', 'Ryan Arcidiacono', 'Guard']","['2018-19', 81, 32, 24.2, 2.3, 5.2, 0.447, 1.0, 2.7, 0.373, 1.1, 1.3, 0.873, 0.3, 2.4, 2.7, 3.3, 0.8, 0.0, 0.8, 2.1, 6.7, 1610612741, 25.0, '6-3', 'Ryan Arcidiacono', 'Guard']","['2019-20', 58, 4, 16.0, 1.6, 3.8, 0.409, 0.9, 2.4, 0.391, 0.5, 0.7, 0.711, 0.3, 1.6, 1.9, 1.7, 0.5, 0.1, 0.6, 1.7, 4.5, 1610612741, 26.0, '6-3', 'Ryan Arcidiacono', 'Guard']",,,,,,
1630166,"['2020-21', 54, 32, 23.3, 2.4, 5.8, 0.417, 1.0, 3.1, 0.315, 0.5, 0.8, 0.644, 0.4, 4.4, 4.9, 1.2, 0.6, 0.3, 0.6, 2.6, 6.3, 1610612764, 20.0, '6-9', 'Deni Avdija', 'Forward']","['2021-22', 82, 8, 24.2, 3.0, 7.1, 0.432, 1.0, 3.2, 0.317, 1.3, 1.7, 0.757, 0.6, 4.5, 5.2, 2.0, 0.7, 0.5, 1.1, 2.3, 8.4, 1610612764, 21.0, '6-9', 'Deni Avdija', 'Forward']","['2022-23', 76, 40, 26.6, 3.3, 7.6, 0.437, 0.9, 3.1, 0.297, 1.6, 2.2, 0.739, 1.0, 5.4, 6.4, 2.8, 0.9, 0.4, 1.6, 2.8, 9.2, 1610612764, 22.0, '6-9', 'Deni Avdija', 'Forward']",,,,,,,,,,,,,
1629028,"['2020-21', 69, 69, 30.6, 6.2, 10.0, 0.626, 0.1, 0.3, 0.2, 1.9, 2.5, 0.769, 3.3, 7.2, 10.5, 1.4, 0.6, 1.2, 1.5, 2.8, 14.4, 1610612756, 22.0, '7-0', 'Deandre Ayton', 'Center']","['2021-22', 58, 58, 29.5, 7.6, 12.0, 0.634, 0.1, 0.3, 0.368, 1.8, 2.4, 0.746, 2.6, 7.7, 10.2, 1.4, 0.7, 0.7, 1.6, 2.4, 17.2, 1610612756, 23.0, '7-0', 'Deandre Ayton', 'Center']","['2022-23', 67, 67, 30.4, 7.8, 13.2, 0.589, 0.1, 0.4, 0.292, 2.3, 3.0, 0.76, 2.6, 7.4, 10.0, 1.7, 0.6, 0.8, 1.8, 2.8, 18.0, 1610612756, 24.0, '7-0', 'Deandre Ayton', 'Center']",,,,,,"['2018-19', 71, 70, 30.7, 7.2, 12.3, 0.585, 0.0, 0.1, 0.0, 2.0, 2.7, 0.746, 3.1, 7.1, 10.3, 1.8, 0.9, 0.9, 1.8, 2.9, 16.3, 1610612756, 20.0, '7-0', 'Deandre Ayton', 'Center']","['2019-20', 38, 32, 32.5, 8.2, 14.9, 0.546, 0.1, 0.3, 0.231, 1.8, 2.3, 0.753, 3.9, 7.6, 11.5, 1.9, 0.7, 1.5, 2.1, 3.1, 18.2, 1610612756, 21.0, '7-0', 'Deandre Ayton', 'Center']",,,,,,
1628962,"['2020-21', 15, 0, 3.8, 0.3, 0.6, 0.444, 0.0, 0.0, 0.0, 0.5, 0.7, 0.8, 0.3, 0.6, 0.9, 0.0, 0.1, 0.3, 0.2, 0.6, 1.1, 1610612762, 21.0, '6-11', 'Udoka Azubuike', 'Center-Forward']","['2021-22', 17, 6, 11.5, 2.2, 2.9, 0.755, 0.0, 0.0, 0.0, 0.4, 0.6, 0.545, 1.1, 3.1, 4.2, 0.0, 0.1, 0.6, 0.7, 1.5, 4.7, 1610612762, 22.0, '6-11', 'Udoka Azubuike', 'Center-Forward']","['2022-23', 36, 4, 10.0, 1.6, 2.0, 0.819, 0.0, 0.0, 0.0, 0.2, 0.6, 0.35, 0.9, 2.4, 3.3, 0.3, 0.2, 0.4, 0.5, 0.9, 3.5, 1610612762, 23.0, '6-11', 'Udoka Azubuike', 'Center-Forward']",,,,,,,,,,,,,
1628963,"['2020-21', 43, 42, 25.9, 5.7, 11.4, 0.504, 0.9, 2.5, 0.343, 1.8, 3.1, 0.575, 2.5, 4.9, 7.4, 1.0, 0.5, 0.5, 1.4, 2.3, 14.1, 1610612758, 22.0, '6-10', 'Marvin Bagley III', 'Forward']","['2021-22', 48, 25, 23.9, 4.7, 9.3, 0.504, 0.5, 2.0, 0.237, 1.4, 2.1, 0.663, 2.2, 4.9, 7.0, 0.8, 0.5, 0.4, 0.8, 1.9, 11.3, 0, 23.0, '6-10', 'Marvin Bagley III', 'Forward']","['2022-23', 42, 25, 23.6, 4.8, 9.1, 0.529, 0.5, 1.6, 0.288, 1.9, 2.6, 0.75, 2.2, 4.2, 6.4, 0.9, 0.5, 0.7, 1.1, 1.9, 12.0, 1610612765, 24.0, '6-10', 'Marvin Bagley III', 'Forward']",,,,,,"['2018-19', 62, 4, 25.3, 5.7, 11.4, 0.504, 0.5, 1.5, 0.313, 2.9, 4.2, 0.691, 2.6, 5.0, 7.6, 1.0, 0.5, 1.0, 1.6, 1.9, 14.9, 1610612758, 20.0, '6-10', 'Marvin Bagley III', 'Forward']","['2019-20', 13, 6, 25.7, 6.0, 12.8, 0.467, 0.3, 1.7, 0.182, 1.9, 2.4, 0.806, 2.2, 5.2, 7.5, 0.8, 0.5, 0.9, 1.4, 3.3, 14.2, 1610612758, 21.0, '6-10', 'Marvin Bagley III', 'Forward']",,,,,,
1630163,"['2020-21', 51, 31, 28.8, 5.7, 13.2, 0.436, 1.8, 5.1, 0.352, 2.5, 3.2, 0.758, 1.2, 4.7, 5.9, 6.1, 1.6, 0.4, 2.8, 2.7, 15.7, 1610612766, 19.0, '6-7', 'LaMelo Ball', 'Guard']","['2021-22', 75, 75, 32.3, 7.2, 16.7, 0.429, 2.9, 7.5, 0.389, 2.8, 3.2, 0.872, 1.4, 5.2, 6.7, 7.6, 1.6, 0.4, 3.3, 3.2, 20.1, 1610612766, 20.0, '6-7', 'LaMelo Ball', 'Guard']","['2022-23', 36, 36, 35.2, 8.2, 20.0, 0.411, 4.0, 10.6, 0.376, 2.8, 3.4, 0.836, 1.2, 5.3, 6.4, 8.4, 1.3, 0.3, 3.6, 3.3, 23.3, 1610612766, 21.0, '6-7', 'LaMelo Ball', 'Guard']",,,,,,,,,,,,,
